RadID;"Lokalitet	";"PrøveID	";KontekstID;Kontekst-beskrivelse;"Lab.-nr.	";14C-BP.;Kalibrert alder (2 sigma);Delta 13C;Øst_UTM32_ETRS89;Nord_UTM32_ETRS89;
177;"Anders Madsens gate 3	";"PA400234	";SL7521;Kokegrop;"Beta-484368	";"2200 ± 30	";"368 – 173 fvt.	";"-26.4	";580142;6570862;Haugesten, Lars og Gorm Seljeset (2021). Anders Madsens gate 3, Tonsberg. Arkeologisk utgravning i forbindelse med nedkjørsel til ny parkeringskjeller. NIKU 113/2018. Norsk institutt for kulturminneforskning (NIKU).
178;"Anders Madsens gate 3	";"PA400236	";SL7761;Kokegrop;"Beta-484370	";"2160 ± 30	";"356 – 57 fvt.	";"-25.5	";580137;6570860;Haugesten, Lars og Gorm Seljeset (2021). Anders Madsens gate 3, Tonsberg. Arkeologisk utgravning i forbindelse med nedkjørsel til ny parkeringskjeller. NIKU 113/2018. Norsk institutt for kulturminneforskning (NIKU).
179;"Anders Madsens gate 3	";"PA7595	";SL6027;Dyrkingslag;"Beta-484364	";"1110 ± 30	";"882 – 1015 evt.	";"-25.4	";580138;6570864;Haugesten, Lars og Gorm Seljeset (2021). Anders Madsens gate 3, Tonsberg. Arkeologisk utgravning i forbindelse med nedkjørsel til ny parkeringskjeller. NIKU 113/2018. Norsk institutt for kulturminneforskning (NIKU).
180;"Anders Madsens gate 3	";"PA7622	";SL7597;Grøft;"Beta-484369	";"1070 ± 30	";"893 – 1026 evt.	";"-27.0	";580128;6570852;Haugesten, Lars og Gorm Seljeset (2021). Anders Madsens gate 3, Tonsberg. Arkeologisk utgravning i forbindelse med nedkjørsel til ny parkeringskjeller. NIKU 113/2018. Norsk institutt for kulturminneforskning (NIKU).
181;"Anders Madsens gate 3	";"PK1451	";ST1384;Gulv;"Beta-484353	";"790 ± 30	";"1215 – 1280 evt.	";"-26.0	";580138;6570863;Haugesten, Lars og Gorm Seljeset (2021). Anders Madsens gate 3, Tonsberg. Arkeologisk utgravning i forbindelse med nedkjørsel til ny parkeringskjeller. NIKU 113/2018. Norsk institutt for kulturminneforskning (NIKU).
182;"Anders Madsens gate 3	";"PK1988	";ST1772;Trebrolegging;"Beta-484355	";"820 ± 30	";"1175 – 1273 evt.	";"-23.3	";580126;6570848;Haugesten, Lars og Gorm Seljeset (2021). Anders Madsens gate 3, Tonsberg. Arkeologisk utgravning i forbindelse med nedkjørsel til ny parkeringskjeller. NIKU 113/2018. Norsk institutt for kulturminneforskning (NIKU).
183;"Anders Madsens gate 3	";"PK2535	";ST2535;Trebrolegging;"Beta-484356	";"800 ± 30	";"1180 – 1279 evt.	";"-25.3	";580129;6570847;Haugesten, Lars og Gorm Seljeset (2021). Anders Madsens gate 3, Tonsberg. Arkeologisk utgravning i forbindelse med nedkjørsel til ny parkeringskjeller. NIKU 113/2018. Norsk institutt for kulturminneforskning (NIKU).
184;"Anders Madsens gate 3	";"PK3350	";ST3328;Trebrolegging;"Beta-484357	";"860 ± 30	";"1052 – 1263 evt.	";"-24.9	";580140;6570861;Haugesten, Lars og Gorm Seljeset (2021). Anders Madsens gate 3, Tonsberg. Arkeologisk utgravning i forbindelse med nedkjørsel til ny parkeringskjeller. NIKU 113/2018. Norsk institutt for kulturminneforskning (NIKU).
185;"Anders Madsens gate 3	";"PK3478	";ST3464;Trebrolegging;"Beta-484358	";"940 ± 30	";"1028 – 1172 evt.	";"-25.0	";580135;6570856;Haugesten, Lars og Gorm Seljeset (2021). Anders Madsens gate 3, Tonsberg. Arkeologisk utgravning i forbindelse med nedkjørsel til ny parkeringskjeller. NIKU 113/2018. Norsk institutt for kulturminneforskning (NIKU).
186;"Anders Madsens gate 3	";"PK3727	";ST3670;Bygning;"Beta-484359	";"910 ± 30	";"1040 – 1214 evt.	";"-26.4	";580133;6570854;Haugesten, Lars og Gorm Seljeset (2021). Anders Madsens gate 3, Tonsberg. Arkeologisk utgravning i forbindelse med nedkjørsel til ny parkeringskjeller. NIKU 113/2018. Norsk institutt for kulturminneforskning (NIKU).
187;"Anders Madsens gate 3	";"PK4438	";ST4417;Trebrolegging;"Beta-484360	";"980 ± 30	";"995 – 1158 evt.	";"-25.8	";580139;6570861;Haugesten, Lars og Gorm Seljeset (2021). Anders Madsens gate 3, Tonsberg. Arkeologisk utgravning i forbindelse med nedkjørsel til ny parkeringskjeller. NIKU 113/2018. Norsk institutt for kulturminneforskning (NIKU).
188;"Anders Madsens gate 3	";"PK5075	";ST5047;Bygning;"Beta-484361	";"860 ± 30	";"1052 – 1263 evt.	";"-24.2	";580133;6570856;Haugesten, Lars og Gorm Seljeset (2021). Anders Madsens gate 3, Tonsberg. Arkeologisk utgravning i forbindelse med nedkjørsel til ny parkeringskjeller. NIKU 113/2018. Norsk institutt for kulturminneforskning (NIKU).
189;"Anders Madsens gate 3	";"PK5167	";ST5120;Trebrolegging;"Beta-484362	";"870 ± 30	";"1047 – 1261 evt.	";"-23.1	";580130;6570850;Haugesten, Lars og Gorm Seljeset (2021). Anders Madsens gate 3, Tonsberg. Arkeologisk utgravning i forbindelse med nedkjørsel til ny parkeringskjeller. NIKU 113/2018. Norsk institutt for kulturminneforskning (NIKU).
190;"Anders Madsens gate 3	";"PK5256	";ST5445;Trebrolegging;"Beta-484363	";"910 ± 30	";"1040 – 1214 evt.	";"-23.3	";580140;6570860;Haugesten, Lars og Gorm Seljeset (2021). Anders Madsens gate 3, Tonsberg. Arkeologisk utgravning i forbindelse med nedkjørsel til ny parkeringskjeller. NIKU 113/2018. Norsk institutt for kulturminneforskning (NIKU).
