WKT,fid,sone,lokalitet,struktur_id,struktur_navn,funksjonskode,byverdi,bruksverdi,areal_m2,ET_1 (600–1100 evt.),ET_2 (1100–1200 evt.),ET_3 (1200–1300 evt.),ET_4 (1300–1400 evt.),ET_5 (1400–1500 evt.),ET_6 (1500–1537 evt.),utgravningsfase,utgravningsfase_fra (evt.),utgravningsfase_til (evt.),C14_samlet,C14_labid_1,C14_labid_2,C14_labid_3,C14_labid_4,utgravd_år,utgravd_av,utgravd_areal_m2,tbg_kode,niku_prosjektnummer,c_nr,kilde
"MULTIPOLYGON (((580119.301818243 6570642.31079752,580118.07734951 6570640.88477696,580117.542089067 6570641.38835884,580118.819311856 6570642.82168663,580119.301818243 6570642.31079752)))",573,SV,Nedre Langgate K30–31,"30",,36,Sivile konstruksjoner,Vannhåndtering,1.36,0,0,0,1,1,1,Yngre (nedre),1300,1500,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580117.769150895 6570643.87184759,580118.819311856 6570642.82168663,580117.542089067 6570641.38835884,580116.80413812 6570642.11211842,580117.017008585 6570642.32498887,580116.619650384 6570642.65139025,580117.769150895 6570643.87184759)))",574,SV,Nedre Langgate K30–31,"35",,14,Transport,Passasje,2.77,0,0,1,0,0,0,Eldre (nedre),1200,1300,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580113.540197879 6570648.09111789,580117.769150895 6570643.87184759,580116.619650384 6570642.65139025,580112.468446922 6570646.83243363,580113.540197879 6570648.09111789)))",575,SV,Nedre Langgate K30–31,"37",,15,Transport,Brygge,9.87,0,0,1,0,0,0,Eldre (nedre),1200,1300,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580112.95075258 6570648.55941761,580113.540197879 6570648.09111789,580112.468446922 6570646.83243363,580111.957181747 6570647.26546488,580112.95075258 6570648.55941761)))",576,SV,Nedre Langgate K30–31,"36",,36,Sivile konstruksjoner,Vannhåndtering,1.17,0,0,1,0,0,0,Eldre (nedre),1200,1300,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580107.576191266 6570654.39937943,580108.033551047 6570653.75145308,580107.042604855 6570652.18880717,580106.54713176 6570652.64616694,580107.576191266 6570654.39937943)))",577,SV,Nedre Langgate K30–31,"32",,36,Sivile konstruksjoner,Vannhåndtering,1.35,0,0,1,0,0,0,Eldre (nedre),1200,1300,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580095.566030439 6570665.73444926,580097.758896254 6570663.83120723,580101.048194978 6570660.58328334,580099.931074657 6570659.40410078,580099.496638977 6570660.2315973,580094.77990873 6570664.90695273,580095.566030439 6570665.73444926)))",578,SV,Nedre Langgate K30–31,"41",,15,Transport,Brygge,9.91,0,0,1,0,0,0,Eldre (nedre),1200,1300,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580119.542848633 6570642.06606094,580118.289006917 6570640.66917444,580117.691155667 6570641.24811451,580118.941410154 6570642.69240608,580119.542848633 6570642.06606094)))",579,SV,Nedre Langgate K30–31,"30",,36,Sivile konstruksjoner,Vannhåndtering,1.61,0,0,1,0,0,0,Eldre (nedre) + Eldre (øvre),1200,1300,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580118.941410154 6570642.69240608,580117.691155667 6570641.24811451,580112.468446922 6570646.83243363,580113.540197879 6570648.09111789,580118.941410154 6570642.69240608)))",580,SV,Nedre Langgate K30–31,"23",,31,Sivile konstruksjoner,Bygning,13.56,0,0,1,0,0,0,Eldre (øvre),1200,1300,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580112.95075258 6570648.55941761,580111.957181747 6570647.26546488,580111.19082285 6570647.75839926,580108.410364939 6570650.5022722,580109.557977761 6570651.99647949,580112.95075258 6570648.55941761)))",581,SV,Nedre Langgate K30–31,25/26,,31,Sivile konstruksjoner,Bygning,8.78,0,0,1,0,0,0,Eldre (øvre),1200,1300,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580109.557977761 6570651.99647949,580108.410364939 6570650.5022722,580107.730654661 6570651.28788633,580108.939884279 6570652.61264744,580109.557977761 6570651.99647949)))",582,SV,Nedre Langgate K30–31,"42",,36,Sivile konstruksjoner,Vannhåndtering,1.74,0,0,1,0,0,0,Eldre (øvre),1200,1300,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580105.023366697 6570656.75252591,580106.224894214 6570655.47397741,580104.491921832 6570654.66525695,580103.190267021 6570655.88218868,580105.023366697 6570656.75252591)))",583,SV,Nedre Langgate K30–31,"39",,14,Transport,Passasje,3.28,0,0,1,0,0,0,Eldre (øvre),1200,1300,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580125.073301674 6570636.83289804,580123.685097007 6570635.60407565,580120.137230196 6570639.13122602,580120.998375867 6570640.06219432,580120.858730623 6570640.20959763,580121.116818445 6570640.46788905,580121.277666356 6570640.63629143,580125.073301674 6570636.83289804)))",584,SV,Nedre Langgate K30–31,14/15/20,,31,Sivile konstruksjoner,Bygning,9.6,0,0,0,1,1,1,Yngre (nedre),1300,1500,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580120.182539888 6570641.77099676,580118.818395119 6570640.12991892,580118.429141998 6570640.52642737,580119.706805559 6570642.20933769,580120.182539888 6570641.77099676)))",585,SV,Nedre Langgate K30–31,"29",,36,Sivile konstruksjoner,Vannhåndtering,1.27,0,0,0,1,1,0,Yngre (nedre),1300,1500,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580120.182539888 6570641.77099676,580121.277666356 6570640.63629143,580120.858730623 6570640.20959763,580120.998375867 6570640.06219432,580120.137230196 6570639.13122602,580118.93528734 6570640.27054125,580120.182539888 6570641.77099676)))",586,SV,Nedre Langgate K30–31,"28",,14,Transport,Passasje,3.14,0,0,0,1,1,0,Yngre (nedre),1300,1500,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580117.39814129 6570641.56141664,580112.22384468 6570647.03960677,580113.529314412 6570648.3664091,580118.182994497 6570643.78110265,580117.687285691 6570643.14864658,580118.268461532 6570642.51619052,580117.39814129 6570641.56141664)))",587,SV,Nedre Langgate K30–31,13/19,,31,Sivile konstruksjoner,Bygning,14.23,0,0,0,1,1,0,Yngre (nedre),1300,1500,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580112.841304776 6570649.0928789,580111.713139907 6570647.69121952,580110.961029995 6570648.32367558,580108.414112335 6570651.05862072,580107.050335021 6570652.32400905,580108.277365078 6570653.77647245,580109.849958533 6570652.35771965,580112.841304776 6570649.0928789)))",588,SV,Nedre Langgate K30–31,"43344",,31,Sivile konstruksjoner,Bygning,12.54,0,0,0,1,1,0,Yngre (nedre),1300,1500,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580106.743271552 6570655.31052548,580107.618591887 6570654.5729216,580106.381651845 6570653.08517344,580105.574961731 6570653.80841285,580106.743271552 6570655.31052548)))",589,SV,Nedre Langgate K30–31,"42",,36,Sivile konstruksjoner,Vannhåndtering,2.14,0,0,0,1,1,0,Yngre (nedre),1300,1500,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580108.277365078 6570653.77647245,580107.050335021 6570652.32400905,580106.458813579 6570653.01732019,580107.669755606 6570654.47852357,580108.277365078 6570653.77647245)))",590,SV,Nedre Langgate K30–31,"32",,36,Sivile konstruksjoner,Vannhåndtering,1.73,0,0,1,0,0,0,Eldre (øvre),1200,1300,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580103.436867428 6570658.60779756,580104.778246909 6570657.47234414,580106.743271552 6570655.31052548,580105.574961731 6570653.80841285,580102.052586686 6570657.05191177,580103.436867428 6570658.60779756)))",591,SV,Nedre Langgate K30–31,"17",,31,Sivile konstruksjoner,Bygning,9.74,0,0,0,1,1,0,Yngre (nedre),1300,1500,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580103.333904398 6570658.74508161,580101.961063993 6570657.16631514,580101.251763117 6570657.86417568,580102.670364869 6570659.38574046,580103.333904398 6570658.74508161)))",592,SV,Nedre Langgate K30–31,"21",,36,Sivile konstruksjoner,Vannhåndtering,2,0,0,0,1,1,0,Yngre (nedre),1300,1500,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580102.452998471 6570659.6145472,580101.125919413 6570658.00145972,580100.233573148 6570658.8366043,580101.617853891 6570660.44969178,580102.452998471 6570659.6145472)))",593,SV,Nedre Langgate K30–31,"40",,14,Transport,Passasje,2.53,0,0,0,1,1,0,Yngre (nedre),1300,1500,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580101.617853891 6570660.44969178,580100.233573148 6570658.8366043,580099.049498298 6570660.10076151,580099.297588249 6570660.42890198,580094.77990873 6570664.90695273,580095.566030439 6570665.73444926,580101.617853891 6570660.44969178)))",594,SV,Nedre Langgate K30–31,"41",,15,Transport,Brygge,12.04,0,0,0,1,1,0,Yngre (nedre) + Yngre (midtre),1300,1500,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580120.951995832 6570640.97373198,580119.738011124 6570639.72538387,580118.808507307 6570640.58687522,580119.912418274 6570642.01988644,580120.951995832 6570640.97373198)))",595,SV,Nedre Langgate K30–31,"8",,36,Sivile konstruksjoner,Vannhåndtering,2.43,0,0,0,1,1,0,Yngre (midtre),1300,1500,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580115.968695392 6570643.30702449,580116.164522364 6570643.50291006,580117.400082316 6570642.30135634,580117.173374068 6570642.02930644,580115.968695392 6570643.30702449)))",596,SV,Nedre Langgate K30–31,"12",,35,Sivile konstruksjoner,Brønn,0.55,0,0,0,1,1,0,Yngre (midtre),1300,1500,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580100.358040337 6570661.54982451,580103.796595583 6570658.5819841,580107.228921844 6570654.90128383,580106.026428743 6570653.40364932,580099.253126136 6570660.10607753,580100.358040337 6570661.54982451)))",597,SV,Nedre Langgate K30–31,"16",,31,Sivile konstruksjoner,Bygning,18.98,0,0,0,1,1,0,Yngre (midtre),1300,1500,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580101.455004441 6570660.60302734,580102.232006606 6570659.93239148,580100.984753652 6570658.39256939,580100.295803468 6570659.07431055,580101.455004441 6570660.60302734)))",598,SV,Nedre Langgate K30–31,"10",,36,Sivile konstruksjoner,Vannhåndtering,1.94,0,0,0,1,1,0,Yngre (midtre),1300,1500,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580124.685403404 6570637.31426973,580123.446560824 6570635.94058714,580117.70894289 6570641.39683996,580118.822992438 6570643.0329013,580124.685403404 6570637.31426973)))",599,SV,Nedre Langgate K30–31,"1",,31,Sivile konstruksjoner,Bygning,15.31,0,0,0,1,1,0,Yngre (øvre),1300,1500,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580116.378583362 6570645.55900269,580116.638664739 6570645.30274253,580116.633384917 6570643.80790037,580116.39261032 6570644.03720951,580116.378583362 6570645.55900269)))",600,SV,Nedre Langgate K30–31,"3",,36,Sivile konstruksjoner,Vannhåndtering,0.38,0,0,0,1,1,0,Yngre (øvre),1300,1500,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580108.613203921 6570653.47348741,580108.982834781 6570653.14001609,580107.521212978 6570651.55568293,580107.188714726 6570651.94550845,580108.613203921 6570653.47348741)))",601,SV,Nedre Langgate K30–31,"22",,36,Sivile konstruksjoner,Vannhåndtering,1.07,0,0,0,1,1,0,Yngre (øvre),1300,1500,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580103.178705398 6570659.11528932,580106.787582546 6570655.37455984,580105.574961731 6570653.80841285,580102.787224143 6570656.37543758,580103.405369385 6570657.14486777,580102.76777327 6570657.6065753,580102.822738452 6570657.71650567,580102.558905577 6570658.0572898,580102.888696671 6570658.44204607,580102.795750549 6570658.62627103,580103.178705398 6570659.11528932)))",602,SV,Nedre Langgate K30–31,"4",,31,Sivile konstruksjoner,Bygning,9.53,0,0,0,1,1,0,Yngre (øvre),1300,1500,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580112.632887368 6570649.48437032,580112.301168799 6570649.07875406,580107.460048293 6570652.120055,580108.228584384 6570652.87545373,580112.632887368 6570649.48437032)))",603,SV,Nedre Langgate K30–31,"2",,31,Sivile konstruksjoner,Bygning,4.46,0,0,0,1,1,0,Yngre (midtre),1300,1500,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580110.749507793 6570692.18039191,580109.184796982 6570690.57824781,580108.211531883 6570689.35043647,580107.27195673 6570688.2255666,580106.433451416 6570687.45818451,580105.639866027 6570688.14695674,580105.100826896 6570687.48064448,580105.018473695 6570687.63037757,580106.620617779 6570689.7865341,580106.920083964 6570689.57690777,580108.346291667 6570691.31006831,580109.761269385 6570693.15365701,580110.749507793 6570692.18039191)),((580111.327551595 6570691.73494848,580112.271271318 6570690.87525859,580110.364440372 6570688.45778479,580109.310835476 6570689.38857684,580111.327551595 6570691.73494848)))",604,NV,Nedre Langgate K31–33,"11",,14,Transport,Passasje,12.35,0,0,1,1,1,0,Yngre,1275,1425,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580093.933066993 6570674.29113429,580092.759318805 6570675.46488247,580093.234407358 6570675.95394421,580096.070965478 6570678.56693126,580097.118954932 6570677.77045927,580096.713732343 6570677.05782644,580093.933066993 6570674.29113429)))",605,NV,Nedre Langgate K31–33,"1",,31,Sivile konstruksjoner,Bygning,7.36,0,1,1,0,0,0,Eldre,1175,1275,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580097.719802218 6570678.38178645,580097.98529288 6570678.94071416,580098.614086552 6570679.8210253,580097.775694989 6570680.49173854,580098.683952515 6570681.7493259,580099.843727509 6570683.20253794,580101.674215756 6570684.89329426,580103.337025689 6570683.34226986,580103.057561834 6570683.04883282,580102.610419667 6570683.23048433,580098.642032937 6570678.92674097,580098.334622698 6570678.91276778,580097.719802218 6570678.38178645)))",606,NV,Nedre Langgate K31–33,"3",,15,Transport,Brygge,11.86,0,1,1,0,0,0,Eldre,1175,1275,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580098.551535707 6570681.56597955,580098.811420372 6570681.90904465,580099.891115256 6570681.01198356,580099.599738044 6570680.67065598,580098.551535707 6570681.56597955)))",607,NV,Nedre Langgate K31–33,"2",,32,Sivile konstruksjoner,Gjerde,0.61,0,1,1,0,0,0,Eldre,1175,1275,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580101.674215756 6570684.89329426,580102.647521409 6570685.59194089,580103.0420532 6570685.81738762,580103.352042463 6570685.83147804,580104.606089936 6570686.91644047,580105.211978043 6570686.9446213,580105.338791833 6570687.18415846,580105.545794293 6570687.5770657,580106.944344123 6570689.24917281,580107.198727413 6570689.07227488,580106.888738149 6570688.63547183,580107.494626254 6570688.07185499,580104.324281517 6570684.80287731,580103.337025689 6570683.34226986,580101.674215756 6570684.89329426)))",608,NV,Nedre Langgate K31–33,"19",,15,Transport,Brygge,8.92,0,1,1,0,0,0,Eldre,1175,1275,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580108.095611217 6570690.74895546,580108.856750628 6570691.88353414,580109.901360558 6570693.09875665,580110.193987008 6570692.73392226,580108.403365952 6570690.5177276,580108.095611217 6570690.74895546)))",609,NV,Nedre Langgate K31–33,"20",,15,Transport,Brygge,1.35,0,1,1,0,0,0,Eldre,1175,1275,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580111.487933031 6570691.33545739,580112.143990947 6570690.74340512,580110.383835564 6570688.69522431,580109.567763523 6570689.33528082,580110.799872292 6570690.88741783,580111.071896304 6570690.82341218,580111.487933031 6570691.33545739)))",610,NV,Nedre Langgate K31–33,"21",,15,Transport,Brygge,2.8,0,1,1,0,0,0,Eldre,1175,1275,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580106.960907103 6570690.08013,580107.621590964 6570690.77190487,580107.704500312 6570690.72526836,580107.766682324 6570690.81595045,580107.856377856 6570690.75650212,580107.808136997 6570690.63199534,580108.292638495 6570690.23299411,580108.334093168 6570690.27963061,580108.432548018 6570690.20708494,580108.38591151 6570690.1397211,580108.466229941 6570690.07753909,580108.401457013 6570689.99722066,580108.295229413 6570690.07753909,580107.878091758 6570689.5645375,580107.979137525 6570689.48162815,580107.885864509 6570689.3676278,580107.777045991 6570689.44535531,580107.722636733 6570689.35985505,580107.613818213 6570689.43758256,580107.688954809 6570689.53085558,580107.199271478 6570689.90135671,580107.129316715 6570689.81326554,580106.991998109 6570689.88581122,580107.077498373 6570690.01535708,580106.960907103 6570690.08013)))",611,NV,Nedre Langgate K31–33,"17",,35,Sivile konstruksjoner,Brønn,1.03,0,0,1,1,1,0,Yngre,1275,1425,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580107.720442555 6570688.48423171,580106.4966866 6570689.55343937,580109.772546664 6570692.94890402,580110.894173813 6570691.93349592,580107.720442555 6570688.48423171)))",612,NV,Nedre Langgate K31–33,"18",,14,Transport,Passasje,7.38,0,0,1,1,1,0,Yngre,1275,1425,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580111.669287187 6570691.41743671,580112.269542367 6570690.94052163,580110.337214043 6570688.59705962,580109.876744317 6570688.92596656,580111.669287187 6570691.41743671)))",613,NV,Nedre Langgate K31–33,"18",,14,Transport,Passasje,2.03,0,0,1,1,1,0,Yngre,1275,1425,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580111.044363984 6570691.82857039,580111.110145374 6570691.76895601,580110.9456919 6570691.64561589,580110.740125056 6570691.55516649,580110.740125056 6570691.47293975,580110.740125056 6570691.34137697,580110.674343667 6570691.18514617,580110.518112866 6570691.0206927,580110.345436718 6570690.88912992,580110.320768697 6570690.79045783,580110.254987307 6570690.68356307,580110.032975116 6570690.59311367,580109.852076296 6570690.37932414,580109.679400147 6570690.206648,580109.580728063 6570690.12442125,580109.531392021 6570689.99285847,580109.416274588 6570689.87774105,580109.260043786 6570689.77906897,580109.186039725 6570689.60639281,580109.11203566 6570689.46660737,580109.005140903 6570689.35971261,580108.980472881 6570689.27748587,580108.980472881 6570689.21170448,580107.952638666 6570687.83851797,580107.796407865 6570687.73984588,580107.821075885 6570687.8302953,580107.878634603 6570687.87963134,580107.944415992 6570687.9536354,580107.944415992 6570688.02969513,580108.010197382 6570688.1036992,580108.092424119 6570688.16948059,580108.166428183 6570688.35037941,580108.487112458 6570688.75329041,580108.816019406 6570689.13975609,580108.873578122 6570689.26309619,580108.914691491 6570689.41932698,580108.972250208 6570689.4768857,580109.046254269 6570689.61667116,580109.144926355 6570689.77290195,580109.358715872 6570689.9784688,580109.473833304 6570690.11003158,580109.695845494 6570690.34848912,580109.926080358 6570690.61161468,580110.139869876 6570690.80073617,580110.098756506 6570690.87474024,580110.230319285 6570690.90763094,580110.279655328 6570690.96518965,580110.402995434 6570691.11319777,580110.518112866 6570691.17897917,580110.682566339 6570691.63122622,580111.044363984 6570691.82857039)),((580111.471943017 6570691.56338915,580111.595283123 6570691.4893851,580111.578837776 6570691.46471708,580111.422606975 6570691.28381826,580111.381493607 6570691.18514616,580111.266376175 6570691.07002873,580111.110145374 6570690.8644619,580111.003250615 6570690.59311366,580110.87991051 6570690.51088693,580110.756570404 6570690.32176543,580110.625007624 6570690.10797591,580110.625007624 6570689.99285848,580110.583894255 6570689.87774105,580110.493444845 6570689.81195966,580110.419440781 6570689.7379556,580110.402995434 6570689.65572886,580110.337214044 6570689.52416608,580110.213873939 6570689.39260329,580110.115201855 6570689.24459517,580110.024752443 6570689.17881379,580109.852076294 6570688.96502427,580109.646509453 6570689.09658704,580110.024752443 6570689.58994747,580110.049420464 6570689.68039688,580110.115201854 6570689.86951838,580110.213873938 6570689.99285848,580110.337214043 6570690.08330789,580110.460554151 6570690.27242938,580110.625007624 6570690.43688286,580110.789461099 6570690.59311367,580110.912801204 6570690.88090724,580111.1019227 6570691.16047815,580111.471943017 6570691.56338915)))",614,NV,Nedre Langgate K31–33,"15",,36,Sivile konstruksjoner,Vannhåndtering,1.29,0,0,1,1,1,0,Yngre,1275,1425,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580103.463503999 6570683.77960057,580102.256608716 6570685.29153531,580105.068276849 6570687.413549,580105.21416529 6570687.83795174,580105.585517685 6570688.35519258,580106.421060573 6570689.15094771,580107.070927265 6570688.79285789,580107.972783082 6570689.8008144,580108.503286504 6570689.56208786,580110.015221255 6570690.84855866,580110.081534183 6570690.75572056,580108.211509623 6570688.91222117,580106.898513653 6570687.45333676,580103.463503999 6570683.77960057)))",615,NV,Nedre Langgate K31–33,"14",,14,Transport,Passasje,10.9,0,1,1,0,0,0,Eldre,1175,1275,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580109.734413348 6570693.1657564,580110.796731317 6570692.14007008,580110.271677609 6570691.33417368,580109.013990818 6570690.06427635,580107.988304504 6570690.85796218,580108.891885305 6570692.10343843,580109.734413348 6570693.1657564)),((580111.700312118 6570691.407437,580112.293062784 6570690.88493314,580110.29436248 6570688.57125141,580109.876296226 6570688.82896349,580109.876296227 6570688.90341364,580109.286421927 6570689.71091147,580109.332237406 6570689.76818082,580109.996561861 6570689.05804089,580110.808941868 6570689.97880249,580110.760099663 6570690.05206579,580110.857784074 6570690.22301352,580110.796731318 6570690.24743461,580111.700312118 6570691.407437)))",616,NV,Nedre Langgate K31–33,"16",,14,Transport,Passasje,6.24,0,0,1,1,1,0,Yngre,1275,1425,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
"MULTIPOLYGON (((580102.115431984 6570685.57195485,580104.597467917 6570686.99547546,580105.6438164 6570686.04646172,580103.417284164 6570683.78342896,580102.115431984 6570685.57195485)))",617,NV,Nedre Langgate K31–33,"13",,14,Transport,Passasje,5.39,0,0,1,1,1,0,Yngre,1275,1425,,,,,,"1976",Riksantikvaren,450,TL,,C34986,"Lindh, Jan. 1992. Arkeologi i Tønsberg: Søndre bydel.  Side 52."
